"","late_all_est","2.5%","97.5%","labels"
"1",14.2845692656179,13.5489164698532,15.6930522410397,"20th"
"2",12.6125603836073,11.8169206036067,13.6459670753283,"30th"
"3",11.8727411327521,10.8813060922319,12.8452408809039,"40th"
"4",9.40562454889501,8.5245305245713,10.3878571673926,"50th"
"5",7.69526990855193,6.86789401000025,8.51215647106534,"60th"
"6",6.48763739152178,5.60258076097635,7.4288076140551,"70th"
"7",5.34497891616853,4.55292503509199,6.14358268463625,"80th"
"8",3.95135889751244,3.17124449408519,4.55076821321058,"90th"
"9",1.08792339063697,0.436518649060253,1.78850683383557,"100th"
"10",13.1922776683942,12.3279053846052,15.2487570805208,"20th"
"11",11.5202687863837,10.6528189741957,13.111591234465,"30th"
"12",10.7804495355284,9.80650826600838,11.9485651273043,"40th"
"13",8.31333295167132,7.61405211127959,9.09515358558401,"50th"
"14",6.60297831132824,5.90016280951655,7.20607990434063,"60th"
"15",5.39534579429808,4.67377955994999,6.08781931738286,"70th"
"16",4.25268731894483,3.6235871762212,4.88265548765246,"80th"
"17",2.85906730028875,2.4322834371179,3.26098768733243,"90th"
"18",-0.0043682065867201,-0.0114292574073265,0.0436960896457592,"100th"
